"molecule_chembl_id","smiles","ido1_ic50","tdo_ic50"
CHEMBL5889803,CC(C(=O)Nc1ccc(C(F)(F)F)cc1)[C@H]1[C@@H]2C[C@@H](n3cnc4cc(F)c(F)cc43)C[C@@H]21,3.36,
CHEMBL5816559,CC(C(=O)Nc1ccc(C(F)(F)F)nn1)[C@H]1[C@@H]2C[C@@H](Oc3ccnc4ccc(F)cc34)C[C@@H]21,5.9,
CHEMBL5978400,CC(C(=O)Nc1ccc(C#N)nn1)[C@H]1[C@@H]2C[C@@H](Oc3ccnc4ccc(F)cc34)C[C@@H]21,4.6,
CHEMBL5974890,C[C@H](C(=O)Nc1ccc(-c2ccc(F)cc2)cc1)[C@H]1[C@@H]2C[C@@H](n3cnc4cc(F)c(F)cc43)C[C@@H]21,329.0,
CHEMBL5853204,O=C(Nc1cnc(C(F)(F)F)nc1)C(C1CC1)[C@H]1[C@@H]2C[C@@H](Oc3ccnc4ccc(F)cc34)C[C@@H]21,1.56,
CHEMBL5819450,N#Cc1ccc(NC(=O)C(C2CC2)[C@H]2[C@@H]3C[C@@H](Oc4ccnc5ccc(F)cc45)C[C@@H]32)nn1,8.41,
CHEMBL5966350,CC(c1nc2cc(Cl)ccc2[nH]1)[C@H]1[C@@H]2C[C@@H](n3cnc4cc(F)c(F)cc43)C[C@@H]21,8.19,
CHEMBL5807250,N#Cc1ccc(NC(=O)Nc2c(-c3ccccc3)ccc3cncn23)cn1,250.0,
CHEMBL5417326,O=C(Cc1cccc(OC(F)(F)F)c1)Nc1nnc(CCCNc2nonc2/C(=N\O)Nc2ccc(F)c(Br)c2)s1,120.0,
CHEMBL5422448,O=C(Cc1ccccc1)Nc1nnc(CCCNc2nonc2/C(=N\O)NCCc2ccc(Cl)cc2)s1,7880.0,
CHEMBL5414159,CC(C)(C)CC(C)(C)Nc1c(-c2ccccc2)nc2sccn12,465000.0,
CHEMBL5416882,C[C@]1([C@@H](O)C[C@@H]2c3c(F)cccc3-c3cncn32)CC[C@H](O)CC1,28.0,
CHEMBL5787033,O=C(CSc1nonc1/C(=N/O)Nc1ccc(F)c(Br)c1)Nc1ccccc1,94.3,
CHEMBL6056701,N=C(Nc1ccc(F)c(Br)c1)c1nonc1SCC(=O)NCCF,34.9,
CHEMBL5982293,N=C(Nc1ccc(F)c(Br)c1)c1nonc1SCCn1cncn1,31.4,
CHEMBL5946151,OC[C@@H](O)CSc1nonc1/C(=N/O)Nc1ccc(F)c(C(F)F)c1,69.1,
CHEMBL5893889,N#Cc1cc(N/C(=N\O)c2nonc2SCCNC(=O)[C@@H]2CC2(F)F)ccc1F,87.9,
CHEMBL5827156,O=C(NCCOCCONc1nonc1/C(=N/O)Nc1ccc(F)c(Br)c1)Nc1cc(F)cc(F)c1,72.0,
CHEMBL5818607,COC(=O)CSNc1nonc1/C(=N/O)Nc1ccc(F)cc1,83.0,
CHEMBL5895642,CN1CCN(S(=O)(=O)CCNc2nonc2/C(=N/O)Nc2ccc(F)c(Br)c2)CC1,99.0,
CHEMBL5964970,NS(=O)(=O)N1CCCC1CCNc1nonc1C(=NO)Nc1ccc(F)c(Br)c1,151.0,
CHEMBL5908878,CC(C)(C)OC(=O)Nc1cccc(C(O)CC2c3ccccc3-c3cncn32)c1,550.0,
CHEMBL5886393,CC1CCC(C(O)CC2c3cccc(F)c3-c3cncn32)CC1,1000.0,
CHEMBL5968774,NS(=O)(=O)N1CC[C@H](Oc2nonc2/C(=N/O)N[C@H]2Cc3ccc(F)cc32)C1,308.0,
CHEMBL5759227,NS(=O)(=O)CCOc1nonc1/C(=N/O)N[C@H]1Cc2ccc(F)cc21,289.0,
CHEMBL5801742,Cc1nc2onc(NC(=O)Nc3ccc(OC(F)(F)F)cc3)c2c(C)c1Cl,100000.0,
CHEMBL6054082,Fc1ccc2nccc([C@H]3CC[C@H](Cc4nc5cc(F)c(F)cc5[nH]4)CC3)c2c1,10000.0,
CHEMBL5956473,Fc1cc2nc(C[C@H]3CC[C@@H](c4ccccc4)CC3)[nH]c2cc1Br,6900.0,
CHEMBL5930067,Fc1ccc2nccc(N3CCC(Cc4nc5cc(Cl)ccc5[nH]4)CC3)c2c1,10000.0,
CHEMBL571981,CN(C)CSC1Nc2ccccc2S1,50000.0,
CHEMBL571437,Oc1ccc(NC2CCCCC2)c2ccccc12,15000.0,
CHEMBL576113,CCN(CC)CCNc1ccc(O)c2ccccc12,3000.0,
CHEMBL3286600,NNC(=S)Nc1ccc(Br)cc1,1600.0,
CHEMBL3342384,CCOC(=O)c1cnc2scc(-c3ccccc3)n12,100000.0,
CHEMBL3754097,O[C@@H](C[C@@H]1c2ccccc2-c2cncn21)C1CCCCC1,1000.0,
CHEMBL4072733,OCCNc1nonc1/C(=N/O)Nc1ccc(F)c(Br)c1,170.0,
CHEMBL3901869,N#Cc1cc(N/C(=N\O)c2nonc2NCCNS(N)(=O)=O)ccc1F,750.0,
CHEMBL1407756,COc1ccc2c(c1)c1ccc3c(c1n2C)C(=O)C=CC3=O,25500.0,
CHEMBL1429182,c1ccc2c(c1)Nc1ccncc1S2,421600.0,
CHEMBL3238535,O=C1C(c2ccccc2)=Nc2ccccc21,114000.0,
