Architecture,Class,Metric,RF,GNN_mean,GNN_std,diff,t_stat,p_value,significant_bonf
GAT,AI,precision,0.7454545454545455,0.6967213122638055,0.0151258504753697,-0.048733233190739966,-9.665552347637268,4.745896628799429e-06,True
GAT,AI,recall,0.6029411764705882,0.7691176470588236,0.027156154871499,0.16617647058823537,18.35787924040469,1.9303490583766347e-08,True
GAT,AI,f1,0.6666666666666666,0.7308184989302297,0.0151467572057498,0.06415183226356302,12.706052799052712,4.724511948328569e-07,True
GAT,IA,precision,0.6666666666666666,0.4490867465867466,0.0416670287821635,-0.21757992007992005,-15.665618099440293,7.732813744887324e-08,True
GAT,IA,recall,0.2,0.57,0.0458257569495583,0.36999999999999994,24.2221858161952,1.6668693092469766e-09,True
GAT,IA,f1,0.3076923076923077,0.5006567635263288,0.0342721694784319,0.1929644558340211,16.891062816037117,4.006520248900358e-08,True
GAT,II,precision,0.7,0.8253857918352953,0.025740865025801,0.1253857918352953,14.61323755549201,1.4151045601984436e-07,True
GAT,II,recall,0.9032258064516129,0.75,0.0165273399450961,-0.15322580645161288,-27.813152079033234,4.876028469880112e-10,True
GAT,II,f1,0.7887323943661971,0.7855377860378866,0.0125949449835288,-0.003194608328310533,-0.760926307932664,0.46616907513461925,False
GINE,AA,precision,0.7386363636363636,0.7098474396519813,0.0589992187762658,-0.028788923984382375,-1.463862975553343,0.17726427028803515,False
GINE,AA,recall,0.7558139534883721,0.7616279069767442,0.0593479076984876,0.005813953488372103,0.2938917502151604,0.7755055776347695,False
GINE,AA,f1,0.7471264367816092,0.7304772882899405,0.0219204014371536,-0.016649148491668653,-2.278582607996787,0.04867517880821093,False
GINE,AI,precision,0.7454545454545455,0.6704482430869104,0.0490711730776901,-0.07500630236763506,-4.585562011053871,0.001317331665542154,True
GINE,AI,recall,0.6029411764705882,0.6720588235294118,0.0644547264729739,0.06911764705882362,3.2170323655537456,0.010539407491881647,True
GINE,AI,f1,0.6666666666666666,0.6669578360316618,0.0259024600290341,0.00029116936499518076,0.03372297820386272,0.9738341248884126,False
GINE,IA,precision,0.6666666666666666,0.3047385620915033,0.228407982167483,-0.36192810457516333,-4.753705642954829,0.001038785013522725,True
GINE,IA,recall,0.2,0.21,0.1972308292331602,0.009999999999999981,0.15210603796901784,0.8824585267676748,False
GINE,IA,f1,0.3076923076923077,0.2293422092183701,0.1826498872823943,-0.07835009847393762,-1.2868899013247266,0.23024437073692794,False
GINE,II,precision,0.7,0.7846004800533528,0.0459449199800736,0.08460048005335286,5.524037048494866,0.0003685578992380645,True
GINE,II,recall,0.9032258064516129,0.7370967741935484,0.046774193548387,-0.16612903225806452,-10.655172413793126,2.1048319724936704e-06,True
GINE,II,f1,0.7887323943661971,0.7577253219414877,0.0195728113271937,-0.03100707242470946,-4.752573134186825,0.0010404341112961735,True
GraphSAGE,AA,precision,0.7386363636363636,0.67947179314598,0.0163214053818386,-0.059164570490383595,-10.874903681312533,1.7728269887662407e-06,True
GraphSAGE,AA,recall,0.7558139534883721,0.7790697674418604,0.0284824388695718,0.023255813953488302,2.449489742783174,0.03678749787978641,False
GraphSAGE,AA,f1,0.7471264367816092,0.7253870083056837,0.0118205984257685,-0.02173942847592547,-5.517342107283061,0.0003717574231116849,True
GraphSAGE,AI,precision,0.7454545454545455,0.6843349758430619,0.0199421222415884,-0.06111956961148357,-9.194543419860517,7.165313522516925e-06,True
GraphSAGE,AI,recall,0.6029411764705882,0.6794117647058824,0.0404344914260809,0.07647058823529418,5.673665146135812,0.00030430412801729645,True
GraphSAGE,AI,f1,0.6666666666666666,0.6809690032776151,0.0201862289270458,0.014302336610948485,2.1255584679988457,0.06247081740406646,False
GraphSAGE,IA,precision,0.6666666666666666,0.2955555555555555,0.1346281610531439,-0.3711111111111111,-8.269691308446601,1.6967486831775958e-05,True
GraphSAGE,IA,recall,0.2,0.2199999999999999,0.1399999999999999,0.01999999999999988,0.42857142857142627,0.6783097418055812,False
GraphSAGE,IA,f1,0.3076923076923077,0.2476348960636886,0.1389516692278455,-0.060057411628619106,-1.296653979668431,0.2270069910400827,False
GraphSAGE,II,precision,0.7,0.8258990428735157,0.0179400215570899,0.12589904287351572,21.053326352959772,5.771195077386437e-09,True
GraphSAGE,II,recall,0.9032258064516129,0.7096774193548387,0.020401791355925,-0.19354838709677413,-28.460498941515446,3.9724179501376966e-10,True
